2021-06-04 13:54:01.130	     0x11894ee00	INFO	logging	contrib/epee/src/mlog.cpp:273	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.ssl:FATAL,net.p2p:FATAL,net.cn:FATAL,daemon.rpc:FATAL,global:INFO,verify:FATAL,serialization:FATAL,daemon.rpc.payment:ERROR,stacktrace:INFO,logging:INFO,msgwriter:INFO
2021-06-04 13:54:01.131	     0x11894ee00	INFO	global	contrib/epee/include/net/http_server_impl_base.h:79	Binding on 127.0.0.1 (IPv4):18082
2021-06-04 13:54:01.719	     0x11894ee00	WARNING	wallet.rpc	src/wallet/wallet_rpc_server.cpp:4603	Starting wallet RPC server
2021-06-04 13:54:01.719	     0x11894ee00	INFO	net.http	contrib/epee/include/net/http_server_impl_base.h:96	Run net_service loop( 1 threads)...
2021-06-04 13:54:01.938	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'asa' is shorter than its prefix length, 4
2021-06-04 13:54:01.938	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'ave' is shorter than its prefix length, 4
2021-06-04 13:54:01.939	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'boa' is shorter than its prefix length, 4
2021-06-04 13:54:01.939	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'cal' is shorter than its prefix length, 4
2021-06-04 13:54:01.941	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'dar' is shorter than its prefix length, 4
2021-06-04 13:54:01.941	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'don' is shorter than its prefix length, 4
2021-06-04 13:54:01.941	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'dos' is shorter than its prefix length, 4
2021-06-04 13:54:01.942	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'eco' is shorter than its prefix length, 4
2021-06-04 13:54:01.942	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'eje' is shorter than its prefix length, 4
2021-06-04 13:54:01.942	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'fax' is shorter than its prefix length, 4
2021-06-04 13:54:01.942	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'feo' is shorter than its prefix length, 4
2021-06-04 13:54:01.943	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'fin' is shorter than its prefix length, 4
2021-06-04 13:54:01.943	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'gen' is shorter than its prefix length, 4
2021-06-04 13:54:01.944	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'gol' is shorter than its prefix length, 4
2021-06-04 13:54:01.944	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'haz' is shorter than its prefix length, 4
2021-06-04 13:54:01.945	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'ira' is shorter than its prefix length, 4
2021-06-04 13:54:01.946	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'luz' is shorter than its prefix length, 4
2021-06-04 13:54:01.946	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'mar' is shorter than its prefix length, 4
2021-06-04 13:54:01.946	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'mes' is shorter than its prefix length, 4
2021-06-04 13:54:01.946	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'mil' is shorter than its prefix length, 4
2021-06-04 13:54:01.947	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'oca' is shorter than its prefix length, 4
2021-06-04 13:54:01.948	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'ojo' is shorter than its prefix length, 4
2021-06-04 13:54:01.948	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'ola' is shorter than its prefix length, 4
2021-06-04 13:54:01.948	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'oro' is shorter than its prefix length, 4
2021-06-04 13:54:01.948	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'oso' is shorter than its prefix length, 4
2021-06-04 13:54:01.948	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'pan' is shorter than its prefix length, 4
2021-06-04 13:54:01.949	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'pez' is shorter than its prefix length, 4
2021-06-04 13:54:01.949	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'pie' is shorter than its prefix length, 4
2021-06-04 13:54:01.950	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'red' is shorter than its prefix length, 4
2021-06-04 13:54:01.952	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'res' is shorter than its prefix length, 4
2021-06-04 13:54:01.952	[RPC0]	WARNING	default	src/mnemonics/language_base.h:132	Español word 'rey' is shorter than its prefix length, 4
2021-06-04 13:54:07.020	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:5622	Loaded wallet keys file, with public address: TvzwezQ3E18j1FQoSiEjMwXsgzAeWcfg92bjMjpeGeVm82Y1pqHuzDV1VoUKnCH6FbcEvfwKkSyBsdXSLCHCA4YU2AemyzDmA
2021-06-04 13:54:07.221	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-04 13:54:24.410	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <8229d544707c56a8482edec9c342c5102049700090b06f3929b370185eb64dcf>
2021-06-04 13:54:24.430	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <8ac7c24ddbfb752d7378bac3a03a7f7338ce9cbf0724e21b0cbc30cf78840e97>
2021-06-04 13:54:24.449	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <2adecc2f3bb374e9aac0fc748242cdf72ce05c822d7808c988708ff30494c556>
2021-06-04 13:54:24.468	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <13012123e573452b87e8f9e5d87007ffb850f3c491cced0101409f18e3002732>
2021-06-04 13:54:25.083	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <ba64b13cd3f7fdb6f9501218bf2c2105cb8f38d6fc7826255d0ec90417048c17>
